scenario,CAPEX,spec_heat_tot,spec_power_tot,CO2_captured,OPEX_bd.Fixed,OPEX_bd.Electricity,OPEX_bd.Makeup-water,OPEX_bd.Adsorbent,OPEX_bd.Sink,OPEX_bd.npv_CO2_to_sink,power_bd.capture_unit,power_bd.VacuumPump,power_bd.FanVaneAxial,power_bd.IntercooledCondensingCompressor,power_bd.SteamGenerationSystem,power_bd.WaterCoolingGenerationSystem,electricity-input,heat-input,compression-electricity-input,FOM,investment,RH,T_feed
DAC_pypsa_FR_heatpump_80_winter_mean,27.29329076638534,8.180316676708028,0.9194676381509256,4705.882352941177,17224469.64838895,35774005.994994275,2164663.538253142,17968695.072265536,0.0,423760569.8206462,0.0,0.02469361980097437,0.012305921741777087,1.1649189397002886,2.4832172457750064,0.09588767074398372,0.5559221973381201,2.272310187974452,0.2475452746863113,3.1554402501003573,6.350807595203289,84.51437,5.1385016
DAC_pypsa_GR_heatpump_80_year_mean,28.26291091048285,7.837783798600333,0.923922519299027,4705.8823529411775,17686717.28125783,23690309.149045937,1963885.8152509115,18798051.997473937,0.0,423760569.82064635,0.0,0.028297444268943837,0.012733117834395707,1.1667112931895065,2.379237952090221,0.08632471212457055,0.5326510605926028,2.17716216627787,0.24792614980277006,3.128962430175185,6.5764260824829766,67.0497,17.765284
DAC_pypsa_GR_heatpump_80_summer_mean,29.30842844094068,8.63306326674568,0.9285086425828012,4705.882352941177,18185147.523780145,25283123.84622779,1963142.1428593162,19576418.810917966,0.0,423760569.8206462,0.0,0.032642904425173425,0.012377915017509806,1.1687159682472528,2.620653018102559,0.08588884094521965,0.5847070691792232,2.3980731296515776,0.2483521432525412,3.102375066002767,6.819704942851384,58.37074,26.447916
DAC_pypsa_GR_heatpump_80_winter_mean,27.62235147533838,7.815523586450839,0.9212106452874868,4705.882352941178,17381342.971111912,23644683.636907633,2028047.3640754246,18278006.597526103,0.0,423760569.8206464,0.0,0.025950405601061224,0.012664397011607337,1.165582119331759,2.3724806412318746,0.08955248554718341,0.5313876849957417,2.170978774014122,0.24768620035799868,3.146246072972864,6.427375908917796,75.70325,10.476331
DAC_pypsa_HR_heatpump_80_year_mean,27.58276424024672,7.6261911662162305,0.9217550153813464,4705.882352941176,17362470.523149334,23252223.393002618,1935083.2882151604,18274055.764775977,0.0,423760569.8206461,0.0,0.02630542548820397,0.012811884657690944,1.1657912066924663,2.3150068844457117,0.08546166411220238,0.5184119949745596,2.118386435060064,0.24773063142214916,3.1473405587492396,6.418164454152409,71.77631,10.584256
DAC_pypsa_HR_heatpump_80_summer_mean,28.58850489508377,8.082814346306586,0.9250738416648844,4705.882352941176,17841937.910258073,24182493.965529732,1976434.2699999618,19038523.979732938,0.0,423760569.8206461,0.0,0.02938141697340151,0.012657115167712972,1.1672083197084073,2.453619434599125,0.08675402528645496,0.5487625483056727,2.2452262073073848,0.24803176793803658,3.120474116386245,6.652187732774806,64.96154,20.643778
DAC_pypsa_HR_heatpump_80_winter_mean,26.916233422025112,7.731641249187867,0.9201605988229874,4705.882352941177,17044714.858900156,23444938.55521162,1923158.6928409236,17739482.550307762,0.0,423760569.8206462,0.0,0.024970732926590473,0.012706306416237743,1.1651472728440835,2.347017315698228,0.08541691655247007,0.5248986452136243,2.1476781247744077,0.24759379547936777,3.1662518658633614,6.263071064387467,77.095566,1.9750947
DAC_pypsa_HU_heatpump_80_summer_mean,28.58850489508377,8.082814346306586,0.9250738416648844,4705.882352941176,17841937.910258073,24182493.965529732,1976434.2699999618,19038523.979732938,0.0,423760569.8206461,0.0,0.02938141697340151,0.012657115167712972,1.1672083197084073,2.453619434599125,0.08675402528645496,0.5487625483056727,2.2452262073073848,0.24803176793803658,3.120474116386245,6.652187732774806,64.96154,20.643778
DAC_pypsa_HU_heatpump_80_winter_mean,26.916233422025112,7.731641249187867,0.9201605988229874,4705.882352941177,17044714.858900156,23444938.55521162,1923158.6928409236,17739482.550307762,0.0,423760569.8206462,0.0,0.024970732926590473,0.012706306416237743,1.1651472728440835,2.347017315698228,0.08541691655247007,0.5248986452136243,2.1476781247744077,0.24759379547936777,3.1662518658633614,6.263071064387467,77.095566,1.9750947
DAC_pypsa_HU_heatpump_80_year_mean,27.58276424024672,7.6261911662162305,0.9217550153813464,4705.882352941176,17362470.523149334,23252223.393002618,1935083.2882151604,18274055.764775977,0.0,423760569.8206461,0.0,0.02630542548820397,0.012811884657690944,1.1657912066924663,2.3150068844457117,0.08546166411220238,0.5184119949745596,2.118386435060064,0.24773063142214916,3.1473405587492396,6.418164454152409,71.77631,10.584256
DAC_pypsa_IE_heatpump_80_year_mean,27.73038327135708,8.192751471817886,0.920354411343859,4705.8823529411775,17432845.0384815,24427128.59356401,2209052.762263098,18306498.46718566,0.0,423760569.82064635,0.0,0.025423547153134142,0.012395878179076017,1.1652582365551873,2.4869919526579816,0.09748255696971933,0.557237461178981,2.2757642977271906,0.24761737526797728,3.143275170034886,6.452513557453899,82.53021,10.470366
DAC_pypsa_IE_heatpump_80_summer_mean,28.12517801282497,8.151870093141373,0.9216315320504648,4705.882352941176,17621055.788663957,24354838.803895194,2205711.660629078,18622131.57890451,0.0,423760569.8206461,0.0,0.026508546156295058,0.012459913562794035,1.1657786410004727,2.4745819997707494,0.09701416659749318,0.5547449830435581,2.264408359205937,0.2477279612126005,3.132612312823198,6.544377358859211,78.81208,15.228749
DAC_pypsa_IE_heatpump_80_winter_mean,27.39237739806229,8.316749084011915,0.919312799191386,4705.882352941177,17271707.281827614,24670245.34940778,2235121.8467211127,18025912.517877854,0.0,423760569.8206462,0.0,0.024632861784671077,0.012219006146320276,1.1648642094433692,2.5246326725963497,0.09889992741902441,0.5653316994386027,2.310208078892199,0.24753364450671594,3.152648459612965,6.373863815811618,86.48563,5.858125
DAC_pypsa_IT_heatpump_80_year_mean,28.003906975433647,7.672803164619416,0.9230008032010372,4705.882352941176,17563242.169267807,23360596.135166757,1965183.1767341257,18602363.63240534,0.0,423760569.8206461,0.0,0.027450491747844457,0.012768263003425389,1.1663182428971448,2.3291564244781164,0.08648739543179587,0.5218707971155012,2.131334212394282,0.2478426266156433,3.135855683400733,6.516159104346217,69.23112,15.2946205
DAC_pypsa_IT_heatpump_80_winter_mean,27.364638966810304,7.789786417963938,0.9206675302301706,4705.882352941176,17258483.52171518,23582156.190032236,1997404.819291321,18080081.746973444,0.0,423760569.8206461,0.0,0.025469877228864023,0.01265249984374569,1.165364590548528,2.3646678653736886,0.08838001286086868,0.529373679252773,2.163829560545538,0.24763997549156222,3.1534279590984995,6.367409429589673,76.636116,7.448996
DAC_pypsa_IT_heatpump_80_summer_mean,29.09030719883912,8.443015965260226,0.9274699164366872,4705.882352941176,18081162.444206834,24901648.931532726,1960424.7545686194,19416654.771247465,0.0,423760569.8206461,0.0,0.03164150706905663,0.012479863161237795,1.1682576055039369,2.5629622519363275,0.08578776764588661,0.5722351703351582,2.345282212572285,0.24825474116958665,3.107764094861188,6.7689508563298775,59.970383,24.802063
